,precision,recall,f1-score,support
CRITICAL,0.5625,0.2727272727272727,0.36734693877551017,33.0
HIGH,0.6774193548387096,0.5384615384615384,0.6,39.0
LOW,0.7715617715617715,0.8487179487179487,0.8083028083028082,390.0
MEDIUM,0.7125506072874493,0.6743295019157088,0.6929133858267716,261.0
accuracy,0.7427385892116183,0.7427385892116183,0.7427385892116183,0.7427385892116183
macro avg,0.6810079334219826,0.5835590654556172,0.6171407832262725,723.0
weighted avg,0.7356385259333676,0.7427385892116183,0.7352848380615137,723.0
